cluster,size,hub,top_keywords
0,34,Essential,Essential | Health Policy | Drug Information Services | Drug Utilization | Child | Drug Costs | Developing Countries | Meeting Abstract | Editorials | Perspectives | Drug Development | Biological Products
1,24,Vaccines,Vaccines | World Health Organization | Drug Industry | Quality Control | Guideline | Drug and Narcotic Control | In Vitro Techniques | COVID-19 | Pharmaceutical | Diagnostic Equipment | Health Care | International Cooperation
2,22,Universal Health Insurance,Universal Health Insurance | Pharmaceutical Preparations | Health Services Accessibility | Delivery of Health Care | Public Health | Europe | Healthcare Financing | Health Systems Plans | Primary Health Care | National Health Programs | Health Priorities | Insurance
