keyword,co_occ
Moxidectin,61
Neglected topical diseases,61
Artemisinins,52
Praziquantel,52
Reliance,50
Acedapsone,49
Albendazole,49
Amoxicillin,49
Artemether,49
Arterolane,49
Artesunate,49
Azithromycin,49
Azoles,49
Balapiravir,49
CURE ID,49
Celgosivir,49
Chloroquine,49
Clarithromycin,49
Clavulanate,49
Dapsone,49
