author,collaborations
Stuart Walker,105
Sam Salek,94
Thierry Gastineau,56
Nora Dellepiane,55
Sonia Pagliusi,52
Richard Pazdur,51
Jyothsna Krishnan,48
Bernardo A Mainou,48
Mic McGoldrick,48
Norbert De Clercq,48
Ana Basso,46
Nancy Ngum,45
Jennifer J Gao,44
Larry Kotei,38
Simon A Donkor,38
